Tittle ,Question ,Part 
Sleep,Has your sleeping pattern changed recently?,Part 1
Education,How has education changed in your country over the years?,Part 3
Education,Should education be free for everyone?,Part 3
Education,Do you think exams are the best way to assess students?,Part 3
Education,How important is practical knowledge compared to theoretical knowledge?,Part 3
Technology,How has technology changed the way people interact?,Part 3
Technology,Do you think people rely too much on technology today?,Part 3
Technology,What are the pros and cons of using technology in education?,Part 3
Technology,How do you see technology evolving in the next decade?,Part 3
Environment,What are the biggest environmental problems in your country?,Part 3
Environment,Who should take more responsibility for protecting the environment: individuals or governments?,Part 3
Environment,How effective are international agreements on climate change?,Part 3
Environment,What can be done to encourage people to recycle more?,Part 3
Health,Do you think people today are healthier than in the past?,Part 3
Health,Should governments spend more on healthcare than on the military?,Part 3
Health,How can people be encouraged to live healthier lives?,Part 3
Health,What role does mental health play in overall well-being?,Part 3
Globalization,How has globalization affected your country?,Part 3
Globalization,Do you think globalization is good for local cultures?,Part 3
Globalization,What are the benefits and drawbacks of globalization?,Part 3
Globalization,How has globalization changed the job market?,Part 3
Media,Do you think the media influences public opinion?,Part 3
Media,How has social media changed news reporting?,Part 3
Media,Should the government regulate media content?,Part 3
Media,Do people trust the news nowadays? Why or why not?,Part 3
Culture,Why is it important to preserve traditional culture?,Part 3
Culture,How do cultural values influence people's behavior?,Part 3
Culture,Should governments invest in preserving heritage sites?,Part 3
Culture,How has modernization affected cultural traditions?,Part 3
Crime,What are the main causes of crime in society?,Part 3
Crime,Do you think severe punishment reduces crime?,Part 3
Crime,How effective are community programs in preventing crime?,Part 3
Crime,Should the death penalty still be used?,Part 3
Work,How has remote work changed people's lives?,Part 3
Work,Do you think job satisfaction is more important than salary?,Part 3
Work,What are the challenges of working in large companies?,Part 3
Work,How will automation impact future employment?,Part 3
Travel,Why do people like to travel abroad?,Part 3
Travel,What are the disadvantages of mass tourism?,Part 3
Travel,Should governments promote domestic tourism?,Part 3
Travel,How has air travel changed tourism?,Part 3
Family,How has the family structure changed over the years?,Part 3
Family,Should children spend more time with their parents?,Part 3
Family,What are the advantages of living in a joint family?,Part 3
Family,Do you think family relationships are stronger than friendships?,Part 3
Language,Why is it important to learn foreign languages?,Part 3
Language,Do you think English will continue to dominate globally?,Part 3
Language,How does language affect culture?,Part 3
Language,Should schools teach more than one foreign language?,Part 3
Art,Why do people value art?,Part 3
Art,Should art be compulsory in schools?,Part 3
Art,How does art reflect society?,Part 3
Art,Do you think traditional art is more valuable than modern art?,Part 3
Economy,What factors influence a country's economic growth?,Part 3
Economy,Do you think economic growth should be prioritized over environmental issues?,Part 3
Economy,How does inflation affect people’s lives?,Part 3
Economy,Should the government control prices of essential goods?,Part 3
Transport,What problems does traffic congestion cause in cities?,Part 3
Transport,Should governments invest more in public transportation?,Part 3
Transport,How will electric vehicles change transportation?,Part 3
Transport,Do you think flying will become more popular in the future?,Part 3
Science,How important is scientific research for a country's development?,Part 3
Science,Do you think space exploration is worth the cost?,Part 3
Science,What are the negative impacts of scientific progress?,Part 3
Science,How has science improved our daily lives?,Part 3
Fashion,Why do people follow fashion trends?,Part 3
Fashion,Do you think fashion is important in the workplace?,Part 3
Fashion,How has the fashion industry changed in recent years?,Part 3
Fashion,Should fashion brands be more environmentally friendly?,Part 3
Sports,Why are sports important for society?,Part 3
Sports,Do you think professional athletes earn too much money?,Part 3
Sports,How do sports influence children's development?,Part 3
Sports,Should governments fund sports facilities for everyone?,Part 3
Happiness,What factors contribute most to happiness?,Part 3
Happiness,Do you think money is essential for happiness?,Part 3
Happiness,Can governments do anything to make people happier?,Part 3
Happiness,How does work-life balance affect happiness?,Part 3
Future of Work,Do you think AI will replace most human jobs?,Part 3
Future of Work,How will remote working trends change in the future?,Part 3
Future of Work,What skills will be important for future careers?,Part 3
Future of Work,Should schools prepare students for jobs that don’t exist yet?,Part 3
