Tittle ,Question ,Part 
Cinema,Do you like watching movies in the cinema or at home?,Part 1
Swimming,Do you like swimming?,Part 1
Swimming,"Where do (or can) people go swimming in your hometown (or, near your home)?",Part 1
Swimming,Is swimming very popular in your country?,Part 1
Swimming,Why do many people like swimming?,Part 1
Asking for help,Do you ask for help when you have a problem?,Part 1
Asking for help,Why are teachers always willing to help students?,Part 1
Asking for help,What kinds of help do you often ask for?,Part 1
Asking for help,When was the last time you asked for help?,Part 1
Childhood Memory,What did you enjoy doing as a child?,Part 1
Childhood Memory,Did you enjoy your childhood?,Part 1
Childhood Memory,What are your best childhood memories?,Part 1
Childhood Memory,Do you think it is better for children to grow up in the city or in the countryside?,Part 1
Transportation,What's the most popular means of transportation in your hometown?,Part 1
Transportation,How often do you take buses?,Part 1
Transportation,Can you compare the advantages of planes and trains?,Part 1
Transportation,Is driving to work popular in your country?,Part 1
Transportation,Do you think people will drive more in the future?,Part 1
Transportation,Would you ride bikes to work in the future?,Part 1
Transportation,What will become the most popular means of transportation in Vietnam?,Part 1
Transportation,Do you prefer public transportation or private transportation?,Part 1
Shopping,What are the differences between shopping in a shopping mall and in a street market?,Part 3
Shopping,"Which is more commonly visited in VietNam, shopping malls or street markets?",Part 3
Shopping,Is advertising important?,Part 3
Transportation,What are the advantages and disadvantages of public and private transportation?,Part 3
Transportation,What are the advantages to society of having more people using mass transportation?,Part 3
Transportation,Compare the advantages and disadvantages of using mass transportation.,Part 3
Transportation,Why do some people have to travel a long distance every day to go to work?,Part 3
Transportation,What are the advantages and disadvantages of living in the centre of a city and living in the suburbs of a city?,Part 3
Routines,Should children have learning routines?,Part 3
Routines,What are the advantages of children having a routine at school?,Part 3
Routines,Does having a routine make kids feel more secure at school?,Part 3
Routines,How do people's routines differ on weekdays and weekends?,Part 3
Routines,What daily routines do people have at home?,Part 3
Routines,What are the differences between people's daily routines now and in the last 15 years?,Part 3
